Expense,Account,Amount,Category,Date,Notes
Inauguration Sweet,Nifli CTO,215,Food,2025-09-01,Ladu
N7 Domain Purchase,Nifal CEO|Minhaj COO|Nifli CTO,300,Utilities,2025-09-02,N7
Sim,Nifli CTO,100,Utilities,2025-09-11,
T-Shirt,Nifli CTO|Minhaj COO|Nifal CEO,400,Other,2025-09-16,
Marker,N7 Main Account,10,Utilities,2025-09-30,
White board and accessories,N7 Main Account,1115,Utilities,2025-09-30,
Rent,N7 Main Account,3000,Rent,2025-09-30,
Hostinger purchase,N7 Main Account,2481,Other,2025-10-09,
Food,N7 Main Account,570,Food,2025-10-11,
Petrol,N7 Main Account,60,Travel,2025-10-14,
Mobile recharge,N7 Main Account,147,Utilities,2025-10-15,
Rent,N7 Main Account,3000,Rent,2025-10-30,
Monthly Salary for Co-founders,N7 Main Account,15000,Salary,2025-10-31,Done
Sim Purchase for sales (Julaila),N7 Main Account,350,Utilities,2025-11-04,
Mobile Recharge (company),N7 Main Account,147,Utilities,2025-11-12,
Petrol Ladies Planet,Nifal CEO,120,Travel,2025-11-19,
November Space Rent,N7 Main Account,3000,Rent,2025-12-01,
Shkhin domain purchased,N7 Main Account,2713.80,Other,2025-12-02,
Faraha sim,N7 Main Account,856,Utilities,2025-12-06,
Julaila sim recharge,N7 Main Account,189,Utilities,2025-12-08,
Tea for team,N7 Main Account,150,Utilities,2025-12-05,
Minhaj salary,N7 Main Account,500,Salary,2025-12-02,
Snacks for nuro 7,N7 Main Account,50,Food,2025-12-09,
Muneer return 250,N7 Main Account,250,Other,2025-12-09,
Monthly salary,N7 Main Account,14500,Salary,2025-12-09,
Office Space Search Vehicle Fuel,N7 Main Account,500,Travel,2025-12-15,
Company Sim recharge (9446617877),N7 Main Account,148.90,Utilities,2025-12-15,
Food,N7 Main Account,620,Food,2025-12-16,
Office space search fuel,N7 Main Account,200,Travel,2025-12-16,
Julaila sales share amount gis project,N7 Main Account,6300,Salary,2025-12-16,
Fuel for client visit (Blush Glow),N7 Main Account,250,Travel,2025-12-20,
GIS theme purchase,N7 Main Account,5279.18,Utilities,2025-12-23,
Signa space advance,N7 Main Account,10000,Rent,2025-12-25,
GIS (GST and tax),N7 Main Account,218,Utilities,2025-12-23,
Monthly rent for Signa space,N7 Main Account,10000,Rent,2025-12-28,The rent paid to editor Shamil account
Monthly rent for Raihsoft,N7 Main Account,3750,Rent,2025-12-29,
Nuro 7 sticker printing,N7 Main Account,100,Utilities,2025-12-29,
Water bottle (utilities),N7 Main Account,65,Utilities,2025-12-30,
Calicut Start-up fest ticket booking,N7 Main Account,597,Utilities,2025-12-30,
Monthly salary,N7 Main Account,3000,Salary,2025-12-31,
Laddoo for inauguration,N7 Main Account,100,Utilities,2026-01-02,
Noushad client visit,N7 Main Account,200,Travel,2026-01-02,
Snacks,N7 Main Account,50,Food,2026-01-06,
Calicut-fest,N7 Main Account,400,Travel,2026-01-07,
Ad spend for hiring,N7 Main Account,300,Utilities,2026-01-08,
Company sim recharge,N7 Main Account,150,Utilities,2026-01-10,
Fal API purchase,N7 Main Account,940,Utilities,2026-01-12,
Meta ad,N7 Main Account,220,Utilities,2026-01-13,
Fuel - client meet (Noushad),N7 Main Account,350,Travel,2026-01-13,
Tea - Elakkai,N7 Main Account,60,Food,2026-01-13,
Minhaj,N7 Main Account,400,Utilities,2026-01-17,
Debit card join fee,N7 Main Account,413,Utilities,2026-01-19,
Fuel Ladies planet (client meet),N7 Main Account,110,Travel,2026-01-20,
Food Expense (Calicut cafeteria),N7 Main Account,690,Food,2026-01-20,
Ledger Book and related utilities,N7 Main Account,300,Utilities,2026-01-21,
Monthly Salary,N7 Main Account,6000,Salary,2026-01-21,
Hiring Ad spend,N7 Main Account,350,Utilities,2026-01-30,
Food (Tea),N7 Main Account,90,Food,2026-01-30,
Noushad LP meet fuel,N7 Main Account,150,Travel,2026-01-31,
Monthly salary (Jan),N7 Main Account,9000,Salary,2026-02-02,
Fal API purchase,N7 Main Account,950,Utilities,2026-02-03,
Google AI Ultra purchase,N7 Main Account,400,Utilities,2026-02-03,
Kling API purchase,N7 Main Account,1151.14,Utilities,2026-02-07,
Kling VTON API purchase,N7 Main Account,462.11,Utilities,2026-02-09,
Meta Ad cost,N7 Main Account,200,Utilities,2026-02-09,
Julaila Commission,N7 Main Account,6300,Salary,2026-02-11,
Shereef farewell party,N7 Main Account,990,Utilities,2026-02-13,
Pending Salary Jan and Dec,N7 Main Account,12000,Salary,2026-02-14,
Nuro 7 company sim recharge (BSNL),N7 Main Account,149,Utilities,2026-02-16,
Meta ad spend for Hiring,N7 Main Account,200,Utilities,2026-02-18,
GIS Host Purchase,N7 Main Account,1802,Utilities,2026-02-19,
Monthly Rent February,N7 Main Account,10000,Rent,2026-02-20,
Higgsfield unlimited plan,N7 Main Account,2000,Utilities,2026-02-21,
Higgsfield one month purchase,N7 Main Account,4642.84,Utilities,2026-02-24,
Fuel Noushad meeting,N7 Main Account,110,Travel,2026-02-25,
Meta business payment method adding price,N7 Main Account,3,Utilities,2026-02-25,
Ajmal packet design advance for Wizzyminds,N7 Main Account,3000,Utilities,2026-02-25,
Ad expense (Mulakupetti reel),N7 Main Account,1000,Utilities,2026-03-05,
Monthly Salary February,N7 Main Account,15000,Salary,2026-03-11,
Fuel for meeting in PMNA (MS Square Automations),N7 Main Account,100,Travel,2026-03-15,
Claude Pro purchase,N7 Main Account,2273.64,Utilities,2026-03-16,
Fuel (Meeting with Vipin @ Calicut),N7 Main Account,1000,Travel,2026-03-17,
Space Rent (Salim Signa),N7 Main Account,12000,Rent,2026-03-18,
OpenAI API purchase for agentic ecom,N7 Main Account,572.56,Utilities,2026-03-24,
Ajmal meet fuel expense,N7 Main Account,350,Travel,2026-03-25,
Ajmal Domain Expense,N7 Main Account,3363,Utilities,2026-03-26,
Nifal Scooter fuel (PKD to Pattambi),N7 Main Account,200,Travel,2026-03-28,
Parking charge at Pattambi station,N7 Main Account,40,Travel,2026-03-28,
Train ticket to Kochi,N7 Main Account,180,Travel,2026-03-28,
Food expense (RAC meetup),N7 Main Account,550,Food,2026-03-28,
Uber travel expense (RAC meet up),N7 Main Account,435,Travel,2026-03-28,
Return KSRTC (Kochi to Pattambi RAC meet),N7 Main Account,513,Travel,2026-03-28,
Night food expense (RAC meetup),N7 Main Account,355,Food,2026-03-28,
March Salary,N7 Main Account,9000,Salary,2026-03-30,
Kling developer API purchase,N7 Main Account,1697.51,Utilities,2026-04-03,
Higgsfield purchase,N7 Main Account,3282.96,Utilities,2026-04-02,
Nuro 7 Sim recharge,N7 Main Account,148.90,Utilities,2026-04-08,
Tea expense (Interview),N7 Main Account,60,Food,2026-04-08,
Fuel Interview @ MEA,N7 Main Account,120,Travel,2026-04-06,
Kling video generation API purchase,N7 Main Account,1345.72,Utilities,2026-04-09,
Kling video generation API,N7 Main Account,949.70,Utilities,2026-04-11,
Calivra (Shery) meet @ PMNA fuel,N7 Main Account,110,Travel,2026-04-11,
Claivra meet Tea expense,N7 Main Account,285,Food,2026-04-11,
Claude Max plan,N7 Main Account,11333.88,Utilities,2026-04-14,
Nifli salary March,N7 Main Account,2000,Salary,2026-04-17,
Visiting card (Happino),N7 Main Account,100,Utilities,2026-04-20,
Monthly Rent,N7 Main Account,12000,Rent,2026-04-21,
Bangalore AWS Summit,N7 Main Account,4455.50,Travel,2026-05-22,
Noushad Meeting expense,N7 Main Account,210,Utilities,2026-04-27,
Google Cloud payment method added,N7 Main Account,2,Utilities,2026-04-24,
Fal Purchase,N7 Main Account,981.88,Utilities,2026-04-28,
Kling purchase,N7 Main Account,1149.75,Utilities,2026-04-28,
Noushad Meeting,N7 Main Account,180,Utilities,2026-04-29,
Nuro 7 mobile recharge,N7 Main Account,199,Utilities,2026-05-02,
Minhaj Salary (May Pending),N7 Main Account,2000,Salary,2026-05-05,
Kling purchase,N7 Main Account,1206,Utilities,2026-05-07,
Grok purchase,N7 Main Account,500.51,Utilities,2026-05-07,
Grok x AI,N7 Main Account,703.27,Utilities,2026-05-12,
Grok xAI,N7 Main Account,804.40,Utilities,2026-05-12,
Grok X AI,N7 Main Account,8758.20,Utilities,2026-05-12,
Nifal Salary,N7 Main Account,2000,Salary,2026-05-13,
